,region,market,funnel,account_type,ds,X,Month,Year,US_Desktop_-_Apr_2024,US_Desktop_-_Aug_2024,US_Desktop_-_Dec_2024,US_Desktop_-_Jul_2024,US_Desktop_-_Jun_2024,US_Desktop_-_May_2024,US_Desktop_-_Nov_2024,US_Desktop_-_Oct_2024,US_Desktop_-_Sep_2024,US_Mobile_&_Tablet_-_Apr_2024,US_Mobile_&_Tablet_-_Aug_2024,US_Mobile_&_Tablet_-_Dec_2024,US_Mobile_&_Tablet_-_Jul_2024,US_Mobile_&_Tablet_-_Jun_2024,US_Mobile_&_Tablet_-_May_2024,US_Mobile_&_Tablet_-_Nov_2024,US_Mobile_&_Tablet_-_Oct_2024,US_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
183,US,US,-,Desktop,2024-10-25,35206.55,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35206.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
184,US,US,-,Desktop,2024-10-26,7661.090000000001,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7661.090000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
185,US,US,-,Desktop,2024-10-27,7908.370000000002,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7908.370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
186,US,US,-,Desktop,2024-10-28,57753.57000000001,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57753.57000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
187,US,US,-,Desktop,2024-10-29,63199.52999999999,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63199.52999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
188,US,US,-,Desktop,2024-10-30,59375.86000000001,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59375.86000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
189,US,US,-,Desktop,2024-10-31,48356.81,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48356.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
190,US,US,-,Desktop,2024-11-01,49339.420000000006,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,49339.420000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
191,US,US,-,Desktop,2024-11-02,11399.0,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,11399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
192,US,US,-,Desktop,2024-11-03,10925.919999999998,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,10925.919999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
193,US,US,-,Desktop,2024-11-04,68076.85,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,68076.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
