,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,additive,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,multiplicative,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,additive,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,multiplicative,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,additive,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,multiplicative,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,additive,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,multiplicative,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,additive,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,multiplicative,na,linear,305.75,46.87
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,additive,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,multiplicative,na,logistic,350.09,57.089999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,197.05,4.18
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,additive,na,linear,197.05,4.18
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,multiplicative,na,linear,197.05,4.18
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,105.04,51.870000000000005
