,market,account_type,funnel,ds,region,X,y,key_0
596,France,Desktop,-,2023-09-19,Europe,2276.3599999999997,753.0,
597,France,Desktop,-,2023-09-20,Europe,2825.9,867.0,
598,France,Desktop,-,2023-09-21,Europe,2821.24,841.0,
599,France,Desktop,-,2023-09-22,Europe,2870.26,766.0,
600,France,Desktop,-,2023-09-23,Europe,858.1400000000001,39.0,
601,France,Desktop,-,2023-09-24,Europe,778.8399999999999,60.0,
602,France,Desktop,-,2023-09-25,Europe,3439.700000000001,736.0,
603,France,Desktop,-,2023-09-26,Europe,3489.97,865.0,
604,France,Desktop,-,2023-09-27,Europe,3293.9300000000003,813.0,
605,France,Desktop,-,2023-09-28,Europe,2998.12,815.0,
606,France,Desktop,-,2023-09-29,Europe,3686.5100000000007,722.0,
607,France,Desktop,-,2023-09-30,Europe,1161.4,68.0,
608,France,Desktop,-,2023-10-01,Europe,1036.7,79.0,
609,France,Desktop,-,2023-10-02,Europe,6139.11,839.0,
610,France,Desktop,-,2023-10-03,Europe,3798.9199999999996,754.0,
611,France,Desktop,-,2023-10-04,Europe,4659.280000000001,777.0,
612,France,Desktop,-,2023-10-05,Europe,3084.8999999999996,823.0,
613,France,Desktop,-,2023-10-06,Europe,2387.1399999999994,654.0,
614,France,Desktop,-,2023-10-07,Europe,567.5600000000002,39.0,
615,France,Desktop,-,2023-10-08,Europe,460.14,83.0,
616,France,Desktop,-,2023-10-09,Europe,2875.21,744.0,
617,France,Desktop,-,2023-10-10,Europe,2672.9600000000005,807.0,
618,France,Desktop,-,2023-10-11,Europe,2994.59,770.0,
619,France,Desktop,-,2023-10-12,Europe,3879.12,768.0,
620,France,Desktop,-,2023-10-13,Europe,6057.0199999999995,649.0,
621,France,Desktop,-,2023-10-14,Europe,1825.2600000000002,69.0,
622,France,Desktop,-,2023-10-15,Europe,1323.0700000000002,79.0,
623,France,Desktop,-,2023-10-16,Europe,5421.280000000001,959.0,
624,France,Desktop,-,2023-10-17,Europe,2495.49,851.0,
625,France,Desktop,-,2023-10-18,Europe,2257.7799999999993,755.0,
626,France,Desktop,-,2023-10-19,Europe,2334.1000000000004,826.0,
627,France,Desktop,-,2023-10-20,Europe,2086.58,726.0,
628,France,Desktop,-,2023-10-21,Europe,487.51,50.0,
629,France,Desktop,-,2023-10-22,Europe,446.59000000000003,61.0,
630,France,Desktop,-,2023-10-23,Europe,2609.079999999999,836.0,
631,France,Desktop,-,2023-10-24,Europe,2704.5799999999995,881.0,
632,France,Desktop,-,2023-10-25,Europe,2497.83,845.0,
633,France,Desktop,-,2023-10-26,Europe,2869.56,815.0,
634,France,Desktop,-,2023-10-27,Europe,2810.5699999999993,670.0,
635,France,Desktop,-,2023-10-28,Europe,825.34,30.0,
636,France,Desktop,-,2023-10-29,Europe,731.27,33.0,
637,France,Desktop,-,2023-10-30,Europe,3539.27,819.0,
638,France,Desktop,-,2023-10-31,Europe,3052.41,629.0,
639,France,Desktop,-,2023-11-01,Europe,1157.41,66.0,
640,France,Desktop,-,2023-11-02,Europe,3484.9800000000005,778.0,
641,France,Desktop,-,2023-11-03,Europe,2644.6,652.0,
642,France,Desktop,-,2023-11-04,Europe,779.5200000000001,46.0,
643,France,Desktop,-,2023-11-05,Europe,794.85,68.0,
644,France,Desktop,-,2023-11-06,Europe,3817.74,784.0,
645,France,Desktop,-,2023-11-07,Europe,3772.669999999999,674.0,
646,France,Desktop,-,2023-11-08,Europe,3431.6200000000003,730.0,
647,France,Desktop,-,2023-11-09,Europe,3545.22,709.0,
648,France,Desktop,-,2023-11-10,Europe,6216.52,686.0,
649,France,Desktop,-,2023-11-11,Europe,2104.7599999999998,48.0,
650,France,Desktop,-,2023-11-12,Europe,1592.3399999999997,70.0,
651,France,Desktop,-,2023-11-13,Europe,6828.31,702.0,
652,France,Desktop,-,2023-11-14,Europe,6000.71,748.0,
653,France,Desktop,-,2023-11-15,Europe,3728.16,617.0,
654,France,Desktop,-,2023-11-16,Europe,3660.1399999999994,636.0,
655,France,Desktop,-,2023-11-17,Europe,2977.92,609.0,
656,France,Desktop,-,2023-11-18,Europe,1028.2200000000003,56.0,
657,France,Desktop,-,2023-11-19,Europe,885.3900000000001,47.0,
658,France,Desktop,-,2023-11-20,Europe,4628.089999999999,732.0,
659,France,Desktop,-,2023-11-21,Europe,4616.84,717.0,
660,France,Desktop,-,2023-11-22,Europe,4606.13,757.0,
661,France,Desktop,-,2023-11-23,Europe,3991.4599999999996,720.0,
662,France,Desktop,-,2023-11-24,Europe,3932.28,627.0,
663,France,Desktop,-,2023-11-25,Europe,1018.1799999999998,58.0,
664,France,Desktop,-,2023-11-26,Europe,1118.72,102.0,
665,France,Desktop,-,2023-11-27,Europe,5544.16,813.0,
666,France,Desktop,-,2023-11-28,Europe,5191.870000000001,847.0,
667,France,Desktop,-,2023-11-29,Europe,5182.82,802.0,
668,France,Desktop,-,2023-11-30,Europe,4833.04,763.0,
669,France,Desktop,-,2023-12-01,Europe,4311.23,606.0,
670,France,Desktop,-,2023-12-02,Europe,1233.2200000000003,81.0,
671,France,Desktop,-,2023-12-03,Europe,1207.52,69.0,
672,France,Desktop,-,2023-12-04,Europe,5222.470000000001,822.0,
