,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,additive,na,na,na,na,linear,65.51,60.08
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,additive,additive,na,na,na,linear,65.87,60.28
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,multiplicative,na,na,na,logistic,256.36,168.0
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,additive,na,na,na,na,logistic,264.39,159.54
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,additive,multiplicative,na,na,na,linear,46.46,53.63
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,additive,additive,na,na,na,logistic,295.81,181.31
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,multiplicative,na,na,na,na,linear,50.69,43.32
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,additive,multiplicative,na,na,na,logistic,220.67,154.96
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,multiplicative,na,na,na,na,logistic,256.36,168.0
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,multiplicative,additive,na,na,na,linear,44.83,48.120000000000005
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,48.14,40.73
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,multiplicative,additive,na,na,na,logistic,220.67,154.96
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,na,na,na,na,linear,39.54,31.71
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,additive,na,na,na,linear,63.68,58.47
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,249.83,166.4
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,na,na,na,na,logistic,269.94,165.83
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,multiplicative,na,na,na,linear,48.26,41.83
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,additive,na,na,na,na,linear,63.72,58.550000000000004
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,additive,na,na,na,logistic,267.41,162.98
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,na,multiplicative,na,na,na,logistic,260.74,171.31
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,additive,additive,na,na,na,linear,65.08,59.699999999999996
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,additive,multiplicative,na,na,na,linear,30.09,28.299999999999997
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,additive,na,na,na,na,logistic,267.41,162.98
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,additive,additive,na,na,na,logistic,286.94,176.23
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,multiplicative,na,na,na,na,linear,42.52,36.91
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,additive,multiplicative,na,na,na,logistic,251.54,165.03
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,multiplicative,additive,na,na,na,linear,30.35,28.28
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,43.97,38.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,multiplicative,na,na,na,na,logistic,260.74,171.31
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,multiplicative,additive,na,na,na,logistic,251.54,165.03
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,na,na,na,na,linear,42.5,30.75
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,242.11,161.75
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,additive,na,na,na,linear,61.23,54.08
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,na,na,na,na,logistic,97.13,59.12
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,multiplicative,na,na,na,linear,56.42,48.74
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,additive,na,na,na,logistic,90.31,54.83
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,additive,na,na,na,na,linear,57.4,49.8
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,na,multiplicative,na,na,na,logistic,97.87,59.78
