,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,nov_dec_2018,jul_dec_2019,power,growth,MAPE,period_AE
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,na,na,na,na,na,na,linear,56.71,64.88000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,na,additive,na,na,na,na,logistic,110.25,53.09
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,na,additive,na,na,na,na,linear,52.47,61.4
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,na,multiplicative,na,na,na,na,logistic,100.63,37.14
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,additive,na,na,na,na,na,logistic,110.73,53.53
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,na,multiplicative,na,na,na,na,linear,54.92,63.339999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,additive,na,na,na,na,na,linear,53.22,62.050000000000004
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,additive,additive,na,na,na,na,logistic,109.6,52.43
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,na,logistic,106.0,49.27
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,additive,additive,na,na,na,na,linear,53.19,62.06
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,na,linear,58.17,65.91
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,multiplicative,na,na,na,na,na,linear,55.93,64.24
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,multiplicative,na,na,na,na,na,logistic,108.96,46.44
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,na,logistic,108.84,51.9
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,na,linear,57.04,64.95
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,na,na,na,na,na,na,linear,58.62,67.45
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,105.22,42.38
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,55.47,63.83
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,na,na,na,na,na,na,logistic,113.86,18.66
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,na,additive,na,na,na,na,linear,48.47,57.45
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,na,multiplicative,na,na,na,na,linear,51.04,60.78
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,na,additive,na,na,na,na,logistic,102.88,30.630000000000003
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,additive,na,na,na,na,na,linear,48.53,57.550000000000004
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,na,multiplicative,na,na,na,na,logistic,127.45,10.89
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,additive,additive,na,na,na,na,linear,48.28,56.99999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,additive,na,na,na,na,na,logistic,107.18,37.29
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,additive,multiplicative,na,na,na,na,linear,57.89,65.8
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,additive,additive,na,na,na,na,logistic,100.34,28.18
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,multiplicative,na,na,na,na,na,linear,52.51,62.09
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,additive,multiplicative,na,na,na,na,logistic,97.52,24.09
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,multiplicative,na,na,na,na,na,logistic,127.08,11.23
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,multiplicative,additive,na,na,na,na,linear,57.1,65.13
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,52.65,62.22
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,multiplicative,additive,na,na,na,na,logistic,102.72,31.869999999999997
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,na,na,na,na,na,na,linear,61.28,69.91000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,128.35,13.68
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,na,na,na,na,na,na,logistic,108.71,21.78
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,na,additive,na,na,na,na,linear,52.34,62.51
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,na,multiplicative,na,na,na,na,linear,56.13,65.36999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,na,additive,na,na,na,na,logistic,89.25,17.77
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,na,multiplicative,na,na,na,na,logistic,105.02,16.56
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,additive,na,na,na,na,na,linear,51.74,61.95
