ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Mexico_-_Brand_Apr_2024,Mexico_-_Brand_Aug_2024,Mexico_-_Brand_Dec_2024,Mexico_-_Brand_Jul_2024,Mexico_-_Brand_Jun_2024,Mexico_-_Brand_May_2024,Mexico_-_Brand_Nov_2024,Mexico_-_Brand_Oct_2024,Mexico_-_Brand_Sep_2024,Mexico_-_Non_Brand_Apr_2024,Mexico_-_Non_Brand_Aug_2024,Mexico_-_Non_Brand_Dec_2024,Mexico_-_Non_Brand_Jul_2024,Mexico_-_Non_Brand_Jun_2024,Mexico_-_Non_Brand_May_2024,Mexico_-_Non_Brand_Nov_2024,Mexico_-_Non_Brand_Oct_2024,Mexico_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-13,LATAM,Mexico,-,Non_Brand,L,346.20000000000005,0,346.20000000000005,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.20000000000005,0.0,0.0,0.0,69.4,3.79
2024-05-14,LATAM,Mexico,-,Brand,L,868.4600000000002,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,868.4600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-14,LATAM,Mexico,-,Non_Brand,L,386.62,0,386.62,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.62,0.0,0.0,0.0,69.4,3.79
2024-05-15,LATAM,Mexico,-,Brand,L,763.5799999999999,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,763.5799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-15,LATAM,Mexico,-,Non_Brand,L,248.82,0,248.82,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.82,0.0,0.0,0.0,69.4,3.79
2024-05-16,LATAM,Mexico,-,Brand,L,551.04,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,551.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-16,LATAM,Mexico,-,Non_Brand,L,221.16,0,221.16,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.16,0.0,0.0,0.0,69.4,3.79
2024-05-17,LATAM,Mexico,-,Brand,L,446.96000000000004,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,446.96000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-17,LATAM,Mexico,-,Non_Brand,L,340.58,0,340.58,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.58,0.0,0.0,0.0,69.4,3.79
2024-05-18,LATAM,Mexico,-,Brand,L,70.02,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,70.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-18,LATAM,Mexico,-,Non_Brand,L,105.9,0,105.9,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9,0.0,0.0,0.0,69.4,3.79
2024-05-19,LATAM,Mexico,-,Brand,L,27.080000000000002,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,27.080000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-19,LATAM,Mexico,-,Non_Brand,L,51.36,0,51.36,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,0.0,0.0,0.0,69.4,3.79
2024-05-20,LATAM,Mexico,-,Brand,L,506.5599999999999,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,506.5599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-20,LATAM,Mexico,-,Non_Brand,L,294.86,0,294.86,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.86,0.0,0.0,0.0,69.4,3.79
2024-05-21,LATAM,Mexico,-,Brand,L,438.21999999999997,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,438.21999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-21,LATAM,Mexico,-,Non_Brand,L,203.76,0,203.76,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.76,0.0,0.0,0.0,69.4,3.79
2024-05-22,LATAM,Mexico,-,Brand,L,471.11999999999995,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,471.11999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-22,LATAM,Mexico,-,Non_Brand,L,270.12,0,270.12,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.12,0.0,0.0,0.0,69.4,3.79
2024-05-23,LATAM,Mexico,-,Brand,L,319.5,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,319.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-23,LATAM,Mexico,-,Non_Brand,L,263.24,0,263.24,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.24,0.0,0.0,0.0,69.4,3.79
2024-05-24,LATAM,Mexico,-,Brand,L,308.78,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,308.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-24,LATAM,Mexico,-,Non_Brand,L,173.36,0,173.36,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.36,0.0,0.0,0.0,69.4,3.79
2024-05-25,LATAM,Mexico,-,Brand,L,60.699999999999996,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,60.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-25,LATAM,Mexico,-,Non_Brand,L,142.12,0,142.12,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.12,0.0,0.0,0.0,69.4,3.79
2024-05-26,LATAM,Mexico,-,Brand,L,21.84,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,21.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-26,LATAM,Mexico,-,Non_Brand,L,58.86,0,58.86,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86,0.0,0.0,0.0,69.4,3.79
2024-05-27,LATAM,Mexico,-,Brand,L,372.97999999999996,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,372.97999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-27,LATAM,Mexico,-,Non_Brand,L,346.58,0,346.58,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.58,0.0,0.0,0.0,69.4,3.79
2024-05-28,LATAM,Mexico,-,Brand,L,602.4000000000001,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,602.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-28,LATAM,Mexico,-,Non_Brand,L,208.86,0,208.86,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.86,0.0,0.0,0.0,69.4,3.79
2024-05-29,LATAM,Mexico,-,Brand,L,656.74,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,656.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-29,LATAM,Mexico,-,Non_Brand,L,418.0,0,418.0,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,69.4,3.79
2024-05-30,LATAM,Mexico,-,Brand,L,507.41999999999996,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,507.41999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-30,LATAM,Mexico,-,Non_Brand,L,372.5,0,372.5,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.5,0.0,0.0,0.0,69.4,3.79
2024-05-31,LATAM,Mexico,-,Brand,L,587.04,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,587.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
