region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,AOV,ROAS
LATAM,Mexico,-,Brand,2018-12-15,0.08999999798834324,11.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-16,0.0,11.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-17,3.099999969825148,5.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-18,4.099999973550439,4.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-19,4.480000089854002,4.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-20,5.239999979734421,2.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-21,3.3600000943988557,3.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-22,0.029999999329447746,3.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-23,0.0,3.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-24,1.3399999793618917,1.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-25,0.2299999985843897,1.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-26,3.2199999392032623,2.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-27,3.6899999249726534,3.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-28,3.00000006146729,1.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-29,0.009999999776482582,1.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-30,0.0,1.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-31,1.0799999982118607,1.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-01,0.41,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-02,3.6799999999999997,1.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-03,3.62,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-04,3.87,4.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-05,0.0,0.0,0,0,1,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-07,4.72,1.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-08,5.1899999999999995,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-09,4.42,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-10,4.54,2.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-11,3.56,1.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-12,0.0,0.0,0,0,1,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-13,0.0,0.0,0,0,1,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-14,4.34,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-15,4.42,3.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-16,4.34,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-17,4.449999999999999,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-18,4.01,4.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-19,0.02,0.0,0,0,1,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-21,3.87,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-22,4.55,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-23,3.7300000000000004,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-24,3.6,1.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-25,3.8,2.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-26,0.01,0.0,0,0,1,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-28,3.84,2.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-29,2.92,2.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-30,0.55,0.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-01-31,0.0,1.0,0,0,0,0,0,January,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-01,2.71,9.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-02,0.0,0.0,0,0,1,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-03,0.0,1.0,0,0,1,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-04,0.8200000000000001,3.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-05,3.42,9.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-06,4.3100000000000005,12.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-07,4.3,2.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-08,3.11,3.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-09,0.02,0.0,0,0,1,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-11,5.12,4.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-12,5.47,10.0,0,0,0,0,0,February,60.9,20.69
