ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Canada_-_Brand_Apr_2024,Canada_-_Brand_Aug_2024,Canada_-_Brand_Dec_2024,Canada_-_Brand_Jul_2024,Canada_-_Brand_Jun_2024,Canada_-_Brand_May_2024,Canada_-_Brand_Nov_2024,Canada_-_Brand_Oct_2024,Canada_-_Brand_Sep_2024,Canada_-_Non_Brand_Apr_2024,Canada_-_Non_Brand_Aug_2024,Canada_-_Non_Brand_Dec_2024,Canada_-_Non_Brand_Jul_2024,Canada_-_Non_Brand_Jun_2024,Canada_-_Non_Brand_May_2024,Canada_-_Non_Brand_Nov_2024,Canada_-_Non_Brand_Oct_2024,Canada_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-17,Canada,Canada,-,Non_Brand,L,236.07999999999998,0,57.08,178.99999999999997,0.24178244662826162,0.7582175533717384,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.07999999999998,0.0,0.0,0.0,43.89,7.12
2024-05-18,Canada,Canada,-,Brand,L,518.47,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,518.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-18,Canada,Canada,-,Non_Brand,L,83.14,0,22.84,60.300000000000004,0.27471734423863364,0.7252826557613663,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.14,0.0,0.0,0.0,43.89,7.12
2024-05-19,Canada,Canada,-,Brand,L,475.9599999999999,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,475.9599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-19,Canada,Canada,-,Non_Brand,L,60.63,0,2.26,58.370000000000005,0.03727527626587497,0.962724723734125,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.0,0.0,0.0,43.89,7.12
2024-05-20,Canada,Canada,-,Brand,L,842.4799999999999,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,842.4799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-20,Canada,Canada,-,Non_Brand,L,113.76999999999998,0,36.38,77.38999999999999,0.3197679528874045,0.6802320471125956,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.76999999999998,0.0,0.0,0.0,43.89,7.12
2024-05-21,Canada,Canada,-,Brand,L,1347.8499999999997,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1347.8499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-21,Canada,Canada,-,Non_Brand,L,278.48999999999995,0,130.11999999999998,148.36999999999998,0.4672340119932493,0.5327659880067507,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.48999999999995,0.0,0.0,0.0,43.89,7.12
2024-05-22,Canada,Canada,-,Brand,L,667.9300000000001,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,667.9300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-22,Canada,Canada,-,Non_Brand,L,314.41999999999996,0,136.3,178.12,0.4334965969085936,0.5665034030914065,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.41999999999996,0.0,0.0,0.0,43.89,7.12
2024-05-23,Canada,Canada,-,Brand,L,633.8500000000001,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,633.8500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-23,Canada,Canada,-,Non_Brand,L,157.01999999999998,0,50.51,106.50999999999999,0.32167876703604636,0.6783212329639536,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.01999999999998,0.0,0.0,0.0,43.89,7.12
2024-05-24,Canada,Canada,-,Brand,L,343.17999999999995,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,343.17999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-24,Canada,Canada,-,Non_Brand,L,209.79,0,90.6,119.19,0.4318604318604318,0.5681395681395682,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.79,0.0,0.0,0.0,43.89,7.12
2024-05-25,Canada,Canada,-,Brand,L,145.14000000000001,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,145.14000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-25,Canada,Canada,-,Non_Brand,L,30.48,0,0.94,29.54,0.03,0.97,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.48,0.0,0.0,0.0,43.89,7.12
2024-05-26,Canada,Canada,-,Brand,L,86.82,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,86.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-26,Canada,Canada,-,Non_Brand,L,53.379999999999995,0,19.09,34.29,0.35762457849381796,0.6423754215061821,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.379999999999995,0.0,0.0,0.0,43.89,7.12
2024-05-27,Canada,Canada,-,Brand,L,303.28000000000003,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,303.28000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-27,Canada,Canada,-,Non_Brand,L,82.15,0,24.79,57.36,0.3,0.7,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.15,0.0,0.0,0.0,43.89,7.12
2024-05-28,Canada,Canada,-,Brand,L,266.44,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,266.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-28,Canada,Canada,-,Non_Brand,L,76.05,0,30.63,45.42,0.4027613412228797,0.5972386587771203,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.05,0.0,0.0,0.0,43.89,7.12
2024-05-29,Canada,Canada,-,Brand,L,425.2,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,425.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-29,Canada,Canada,-,Non_Brand,L,129.04,0,52.55,76.49,0.40723806571605703,0.592761934283943,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.04,0.0,0.0,0.0,43.89,7.12
2024-05-30,Canada,Canada,-,Brand,L,2065.27,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,2065.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-30,Canada,Canada,-,Non_Brand,L,550.17,0,233.14,317.03,0.4237599287492957,0.5762400712507043,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.17,0.0,0.0,0.0,43.89,7.12
2024-05-31,Canada,Canada,-,Brand,L,1896.8000000000004,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1896.8000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-31,Canada,Canada,-,Non_Brand,L,455.08,0,107.66999999999999,347.40999999999997,0.23659576338226246,0.7634042366177376,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.08,0.0,0.0,0.0,43.89,7.12
