,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,anomaly_2022,power,growth,MAPE,period_AE
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,multiplicative,na,linear,11.41,5.83
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,12.41,8.49
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,additive,na,logistic,48.19,48.29
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,12.41,8.49
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,multiplicative,na,logistic,48.19,48.29
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,multiplicative,na,linear,12.41,8.49
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,23.21,17.080000000000002
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,additive,na,logistic,23.21,17.080000000000002
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,na,linear,11.09,8.0
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,additive,na,linear,11.09,8.0
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,multiplicative,na,logistic,23.21,17.080000000000002
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,multiplicative,na,linear,11.09,8.0
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,na,logistic,22.5,15.290000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,additive,na,logistic,22.5,15.290000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Custom,na,na,na,na,na,na,na,na,linear,11.21,6.279999999999999
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,multiplicative,na,logistic,22.5,15.290000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Custom,na,na,na,na,na,na,additive,na,linear,11.21,6.279999999999999
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,multiplicative,na,Custom,na,na,na,na,na,na,multiplicative,na,linear,11.21,6.279999999999999
