,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
919,2020-02-15,LATAM,Mexico,-,Brand,L,2.9899999999999998,1.0,0.0,0.0,2.0,2.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.015814449917898
920,2020-02-16,LATAM,Mexico,-,Brand,L,1.72,0.0,0.0,0.0,1.0,1.0,0.0,0.0,February,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,0.5843481116584566
921,2020-02-17,LATAM,Mexico,-,Brand,L,370.89,104.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,126.00515763546798
922,2020-02-18,LATAM,Mexico,-,Brand,L,341.2,92.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,115.91835796387521
923,2020-02-19,LATAM,Mexico,-,Brand,L,366.32,113.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,124.45255829228245
924,2020-02-20,LATAM,Mexico,-,Brand,L,274.2699999999999,95.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,93.17974220032839
925,2020-02-21,LATAM,Mexico,-,Brand,L,235.45,86.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,79.99114121510674
926,2020-02-22,LATAM,Mexico,-,Brand,L,4.76,5.0,0.0,0.0,2.0,2.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.6171494252873564
927,2020-02-23,LATAM,Mexico,-,Brand,L,1.9700000000000002,1.0,0.0,0.0,2.0,2.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,0.6692824302134648
928,2020-02-24,LATAM,Mexico,-,Brand,L,313.45,95.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,106.4906486042693
929,2020-02-25,LATAM,Mexico,-,Brand,L,286.27,126.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,97.2565894909688
930,2020-02-26,LATAM,Mexico,-,Brand,L,314.17,111.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,106.73525944170773
931,2020-02-27,LATAM,Mexico,-,Brand,L,360.04,123.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,122.31900821018064
932,2020-02-28,LATAM,Mexico,-,Brand,L,220.67000000000002,118.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,74.96982430213467
933,2020-02-29,LATAM,Mexico,-,Brand,L,4.790000000000001,13.0,0.0,0.0,1.0,1.0,0.0,0.0,February,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.6273415435139578
934,2020-03-01,LATAM,Mexico,-,Brand,L,1.98,1.0,0.0,0.0,1.0,1.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,0.6726798029556651
935,2020-03-02,LATAM,Mexico,-,Brand,L,312.9500000000001,59.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,106.32077996715932
936,2020-03-03,LATAM,Mexico,-,Brand,L,320.33000000000004,110.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,108.82804105090314
937,2020-03-04,LATAM,Mexico,-,Brand,L,291.2800000000001,129.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,98.9586732348112
938,2020-03-05,LATAM,Mexico,-,Brand,L,307.85,126.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,104.58811986863714
939,2020-03-06,LATAM,Mexico,-,Brand,L,260.81000000000006,115.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,88.60687848932679
940,2020-03-07,LATAM,Mexico,-,Brand,L,5.77,15.0,0.0,0.0,1.0,1.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.9602840722495896
