,ds,market,new_confirmed
352,2020-01-28,Turkey,0
353,2020-01-28,Switzerland,0
354,2020-01-28,Sweden,0
355,2020-01-28,Poland,0
356,2020-01-28,Spain,0
357,2020-01-28,Ireland,0
358,2020-01-28,Germany,6
359,2020-01-28,France,1
360,2020-01-28,Belgium,0
361,2020-01-28,Austria,0
362,2020-01-28,Italy,2
363,2020-01-28,Netherlands,0
364,2020-01-29,Poland,0
365,2020-01-29,UK,0
366,2020-01-29,Turkey,0
367,2020-01-29,Switzerland,0
368,2020-01-29,Sweden,1
369,2020-01-29,Spain,0
370,2020-01-29,Netherlands,0
371,2020-01-29,Ireland,0
372,2020-01-29,Germany,4
373,2020-01-29,France,1
374,2020-01-29,Belgium,0
375,2020-01-29,Austria,0
376,2020-01-29,Italy,0
377,2020-01-30,UK,4
378,2020-01-30,Turkey,0
379,2020-01-30,Switzerland,0
380,2020-01-30,Sweden,0
381,2020-01-30,Spain,0
382,2020-01-30,Poland,0
383,2020-01-30,Netherlands,0
384,2020-01-30,Ireland,0
385,2020-01-30,Germany,4
386,2020-01-30,France,0
387,2020-01-30,Belgium,0
388,2020-01-30,Austria,0
389,2020-01-30,Italy,1
390,2020-01-31,Poland,0
391,2020-01-31,UK,0
392,2020-01-31,Turkey,0
393,2020-01-31,Switzerland,0
394,2020-01-31,Spain,4
395,2020-01-31,Netherlands,0
396,2020-01-31,Sweden,0
397,2020-01-31,Ireland,0
398,2020-01-31,Germany,11
399,2020-01-31,Italy,0
400,2020-01-31,France,0
401,2020-01-31,Belgium,0
402,2020-01-31,Austria,0
403,2020-02-01,Turkey,0
404,2020-02-01,Switzerland,0
405,2020-02-01,Sweden,0
406,2020-02-01,Spain,0
407,2020-02-01,Poland,0
408,2020-02-01,Netherlands,0
409,2020-02-01,UK,0
410,2020-02-01,Ireland,0
411,2020-02-01,Germany,2
412,2020-02-01,France,0
413,2020-02-01,Belgium,0
414,2020-02-01,Austria,0
415,2020-02-01,Italy,0
416,2020-02-02,UK,4
417,2020-02-02,Turkey,0
418,2020-02-02,Switzerland,0
419,2020-02-02,Sweden,0
420,2020-02-02,Spain,0
421,2020-02-02,Poland,0
422,2020-02-02,Netherlands,0
423,2020-02-02,Ireland,0
424,2020-02-02,Germany,1
425,2020-02-02,France,0
426,2020-02-02,Belgium,1
427,2020-02-02,Austria,0
428,2020-02-02,Italy,0
429,2020-02-03,Poland,0
430,2020-02-03,Turkey,0
431,2020-02-03,Switzerland,0
432,2020-02-03,Sweden,0
433,2020-02-03,Spain,0
434,2020-02-03,Netherlands,0
435,2020-02-03,UK,63
436,2020-02-03,Ireland,0
437,2020-02-03,Austria,0
438,2020-02-03,Belgium,0
439,2020-02-03,Italy,0
440,2020-02-03,Germany,6
441,2020-02-03,France,0
442,2020-02-04,UK,0
443,2020-02-04,Turkey,0
444,2020-02-04,Switzerland,0
445,2020-02-04,Sweden,2
446,2020-02-04,Poland,0
447,2020-02-04,Spain,0
448,2020-02-04,Ireland,0
449,2020-02-04,Germany,10
450,2020-02-04,France,0
451,2020-02-04,Belgium,0
452,2020-02-04,Austria,0
453,2020-02-04,Italy,0
454,2020-02-04,Netherlands,0
455,2020-02-05,Poland,0
456,2020-02-05,UK,4
457,2020-02-05,Turkey,0
458,2020-02-05,Switzerland,0
459,2020-02-05,Sweden,0
460,2020-02-05,Spain,0
461,2020-02-05,Netherlands,0
462,2020-02-05,Ireland,0
463,2020-02-05,Germany,5
464,2020-02-05,France,0
465,2020-02-05,Belgium,0
466,2020-02-05,Austria,0
467,2020-02-05,Italy,0
468,2020-02-06,UK,0
469,2020-02-06,Turkey,0
470,2020-02-06,Switzerland,0
471,2020-02-06,Sweden,0
472,2020-02-06,Spain,0
473,2020-02-06,Poland,0
474,2020-02-06,Netherlands,0
475,2020-02-06,Ireland,0
476,2020-02-06,Germany,3
477,2020-02-06,France,5
478,2020-02-06,Belgium,0
479,2020-02-06,Austria,0
480,2020-02-06,Italy,0
481,2020-02-07,Poland,0
482,2020-02-07,Turkey,0
483,2020-02-07,Switzerland,0
484,2020-02-07,Sweden,0
485,2020-02-07,Spain,0
486,2020-02-07,Netherlands,0
487,2020-02-07,UK,0
488,2020-02-07,Ireland,0
489,2020-02-07,Austria,0
490,2020-02-07,Belgium,0
491,2020-02-07,Italy,0
492,2020-02-07,Germany,2
493,2020-02-07,France,0
494,2020-02-08,UK,12
495,2020-02-08,Turkey,0
496,2020-02-08,Switzerland,0
497,2020-02-08,Sweden,0
498,2020-02-08,Spain,0
499,2020-02-08,Netherlands,0
500,2020-02-08,Poland,0
501,2020-02-08,Ireland,0
502,2020-02-08,Germany,0
503,2020-02-08,France,0
504,2020-02-08,Belgium,0
505,2020-02-08,Austria,0
506,2020-02-08,Italy,0
507,2020-02-09,UK,4
508,2020-02-09,Turkey,0
509,2020-02-09,Switzerland,0
510,2020-02-09,Sweden,0
511,2020-02-09,Poland,0
512,2020-02-09,Spain,2
513,2020-02-09,Netherlands,0
514,2020-02-09,Ireland,0
515,2020-02-09,Germany,1
516,2020-02-09,France,0
517,2020-02-09,Belgium,0
518,2020-02-09,Austria,0
519,2020-02-09,Italy,0
520,2020-02-10,UK,5
521,2020-02-10,Turkey,0
522,2020-02-10,Switzerland,0
523,2020-02-10,Sweden,0
524,2020-02-10,Spain,0
525,2020-02-10,Poland,0
526,2020-02-10,Italy,0
527,2020-02-10,Ireland,0
528,2020-02-10,Germany,4
529,2020-02-10,France,0
530,2020-02-10,Belgium,0
531,2020-02-10,Austria,0
532,2020-02-10,Netherlands,0
533,2020-02-11,UK,20
534,2020-02-11,Turkey,0
535,2020-02-11,Switzerland,0
536,2020-02-11,Sweden,0
537,2020-02-11,Spain,0
538,2020-02-11,Poland,0
539,2020-02-11,Netherlands,0
540,2020-02-11,Ireland,0
541,2020-02-11,Austria,0
542,2020-02-11,Belgium,0
543,2020-02-11,Italy,0
544,2020-02-11,Germany,7
545,2020-02-11,France,0
546,2020-02-12,UK,4
547,2020-02-12,Turkey,0
548,2020-02-12,Switzerland,0
549,2020-02-12,Sweden,0
550,2020-02-12,Poland,0
551,2020-02-12,Spain,6
552,2020-02-12,Ireland,0
553,2020-02-12,Germany,0
554,2020-02-12,France,0
555,2020-02-12,Belgium,0
556,2020-02-12,Austria,0
557,2020-02-12,Italy,0
558,2020-02-12,Netherlands,0
559,2020-02-13,Poland,0
560,2020-02-13,UK,5
561,2020-02-13,Turkey,0
562,2020-02-13,Switzerland,0
563,2020-02-13,Sweden,0
564,2020-02-13,Spain,0
565,2020-02-13,Netherlands,0
566,2020-02-13,Ireland,0
567,2020-02-13,Germany,0
568,2020-02-13,France,0
569,2020-02-13,Belgium,0
570,2020-02-13,Austria,0
571,2020-02-13,Italy,0
572,2020-02-14,UK,0
573,2020-02-14,Turkey,0
574,2020-02-14,Switzerland,0
575,2020-02-14,Sweden,0
576,2020-02-14,Spain,0
577,2020-02-14,Poland,0
578,2020-02-14,Netherlands,0
579,2020-02-14,Ireland,0
580,2020-02-14,Germany,1
581,2020-02-14,France,0
582,2020-02-14,Belgium,0
583,2020-02-14,Austria,0
584,2020-02-14,Italy,0
585,2020-02-15,Poland,0
586,2020-02-15,Turkey,0
587,2020-02-15,Switzerland,0
588,2020-02-15,Sweden,0
589,2020-02-15,Spain,0
590,2020-02-15,Netherlands,0
591,2020-02-15,UK,0
592,2020-02-15,Ireland,0
593,2020-02-15,Austria,0
594,2020-02-15,Belgium,0
595,2020-02-15,Italy,0
596,2020-02-15,Germany,0
597,2020-02-15,France,1
598,2020-02-16,UK,0
599,2020-02-16,Turkey,0
600,2020-02-16,Switzerland,0
601,2020-02-16,Sweden,0
602,2020-02-16,Poland,0
603,2020-02-16,Netherlands,0
604,2020-02-16,Spain,0
605,2020-02-16,Ireland,0
606,2020-02-16,Germany,2
607,2020-02-16,France,0
608,2020-02-16,Belgium,0
609,2020-02-16,Austria,0
610,2020-02-16,Italy,0
611,2020-02-17,UK,5
612,2020-02-17,Turkey,0
613,2020-02-17,Switzerland,0
614,2020-02-17,Sweden,0
615,2020-02-17,Spain,0
616,2020-02-17,Netherlands,0
617,2020-02-17,Poland,0
618,2020-02-17,Ireland,0
619,2020-02-17,Germany,3
620,2020-02-17,France,0
621,2020-02-17,Belgium,0
622,2020-02-17,Austria,0
623,2020-02-17,Italy,0
624,2020-02-18,UK,0
625,2020-02-18,Turkey,0
626,2020-02-18,Switzerland,0
627,2020-02-18,Sweden,0
628,2020-02-18,Spain,0
629,2020-02-18,Poland,0
630,2020-02-18,Italy,0
631,2020-02-18,Ireland,0
632,2020-02-18,Germany,2
633,2020-02-18,France,0
634,2020-02-18,Belgium,0
635,2020-02-18,Austria,0
636,2020-02-18,Netherlands,0
637,2020-02-19,UK,0
638,2020-02-19,Turkey,0
639,2020-02-19,Switzerland,0
640,2020-02-19,Sweden,0
641,2020-02-19,Poland,0
642,2020-02-19,Spain,0
643,2020-02-19,Netherlands,0
644,2020-02-19,Austria,0
645,2020-02-19,Belgium,0
646,2020-02-19,Italy,0
647,2020-02-19,Germany,2
648,2020-02-19,Ireland,0
649,2020-02-19,France,0
650,2020-02-20,UK,0
651,2020-02-20,Turkey,0
652,2020-02-20,Switzerland,0
653,2020-02-20,Sweden,0
654,2020-02-20,Spain,0
655,2020-02-20,Netherlands,0
656,2020-02-20,Poland,0
657,2020-02-20,Ireland,0
658,2020-02-20,Germany,4
659,2020-02-20,France,0
660,2020-02-20,Belgium,0
661,2020-02-20,Austria,0
662,2020-02-20,Italy,0
663,2020-02-21,UK,9
