,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,na,additive,na,na,na,linear,43.95,37.22
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,na,na,na,na,na,logistic,321.19,203.38
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,na,multiplicative,na,na,na,linear,30.12,23.77
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,na,additive,na,na,na,logistic,315.93,201.62
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,additive,na,na,na,na,linear,44.49,37.53
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,na,multiplicative,na,na,na,logistic,310.95,216.81
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,additive,additive,na,na,na,linear,44.28,37.36
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,additive,na,na,na,na,logistic,315.93,201.62
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,linear,42.2,35.77
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,additive,additive,na,na,na,logistic,315.63,200.73
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,multiplicative,na,na,na,na,linear,30.47,24.779999999999998
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,logistic,314.47,213.85
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,linear,42.93,37.04
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,multiplicative,na,na,na,na,logistic,310.93,216.79
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,35.14,28.689999999999998
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,na,na,na,na,na,linear,37.13,31.900000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,logistic,305.89,214.0
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,na,additive,na,na,na,linear,65.05,60.34
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,311.04,218.26
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,na,na,na,na,na,logistic,351.2,221.60999999999999
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,na,multiplicative,na,na,na,linear,42.72,37.12
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,additive,na,na,na,na,linear,65.67,60.83
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,na,additive,na,na,na,logistic,345.16,217.11
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,na,multiplicative,na,na,na,logistic,349.11,225.0
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,additive,additive,na,na,na,linear,65.14,60.5
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,additive,na,na,na,na,logistic,345.16,217.11
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,additive,multiplicative,na,na,na,linear,61.44,59.48
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,multiplicative,na,na,na,na,linear,43.49,37.89
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,additive,additive,na,na,na,logistic,344.46,216.67000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,additive,multiplicative,na,na,na,logistic,347.77,223.51999999999998
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,multiplicative,additive,na,na,na,linear,61.63,59.550000000000004
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,multiplicative,na,na,na,na,logistic,349.09,224.98
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,45.17,39.43
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,multiplicative,additive,na,na,na,logistic,347.93,223.64000000000001
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,na,na,na,na,na,linear,35.01,31.34
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,346.48,225.55999999999997
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,na,additive,na,na,na,linear,66.17,61.35
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,na,na,na,na,na,logistic,346.97,219.07000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,na,additive,na,na,na,logistic,340.49,214.25
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,na,multiplicative,na,na,na,linear,46.4,41.120000000000005
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,additive,na,na,na,na,linear,62.31,57.74
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,additive,additive,na,na,na,linear,64.1,59.3
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,na,multiplicative,na,na,na,logistic,343.75,221.48
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,additive,na,na,na,na,logistic,340.47,214.23000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,additive,multiplicative,na,na,na,linear,60.92,58.51
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,multiplicative,na,default,False,na,na,multiplicative,na,na,na,na,linear,41.25,36.97
